T_score_TREE_DEPTH_1,H_score_TREE_DEPTH_1,T_score_TREE_DEPTH_2,H_score_TREE_DEPTH_2,T_score_TREE_DEPTH_3,H_score_TREE_DEPTH_3,,,Train_error_TREE_DEPTH_1,Test_error_TREE_DEPTH_1,Train_error_TREE_DEPTH_2,Test_error_TREE_DEPTH_2,Train_error_TREE_DEPTH_3,Test_error_TREE_DEPTH_3
0.944043871,0.948769463,0.980400122,0.972375691,0.999796892,0.984429935,,,0.055956129,0.051230537,0.019599878,0.027624309,0.000203108,0.015570065
0.943028334,0.944249121,0.979689245,0.97086891,0.999796892,0.985936715,,,0.056971666,0.055750879,0.020310755,0.02913109,0.000203108,0.014063285
0.943129887,0.948267202,0.980603229,0.97187343,0.999695339,0.986941236,,,0.056870113,0.051732798,0.019396771,0.02812657,0.000304661,0.013058764
0.945668732,0.945755902,0.979790799,0.97137117,0.999898446,0.986438975,,,0.054331268,0.054244098,0.020209201,0.02862883,0.000101554,0.013561025
0.943637656,0.942742341,0.980501676,0.97187343,0.999796892,0.985936715,,,0.056362344,0.057257659,0.019498324,0.02812657,0.000203108,0.014063285
0.944450086,0.943244601,0.980095461,0.97137117,0.999898446,0.985936715,,,0.055549914,0.056755399,0.019904539,0.02862883,0.000101554,0.014063285
0.943536102,0.94173782,0.979486138,0.97187343,0.999898446,0.986438975,,,0.056463898,0.05826218,0.020513862,0.02812657,0.000101554,0.013561025
0.94455164,0.949773983,0.980197014,0.97086891,1,0.985434455,,,0.05544836,0.050226017,0.019802986,0.02913109,0,0.014565545
0.94455164,0.944751381,0.980603229,0.97187343,0.999898446,0.986438975,,,0.05544836,0.055248619,0.019396771,0.02812657,0.000101554,0.013561025
0.945059409,0.949271723,0.982431197,0.97187343,0.999898446,0.985936715,,,0.054940591,0.050728277,0.017568803,0.02812657,0.000101554,0.014063285
0.945973393,0.948769463,0.982431197,0.97036665,0.999898446,0.985936715,,,0.054026607,0.051230537,0.017568803,0.02963335,0.000101554,0.014063285
0.94373921,0.949271723,0.983142074,0.97137117,1,0.984932195,,,0.05626079,0.050728277,0.016857926,0.02862883,0,0.015067805
0.944653194,0.947262682,0.983142074,0.972375691,1,0.985936715,,,0.055346806,0.052737318,0.016857926,0.027624309,0,0.014063285
0.946481162,0.947262682,0.984056058,0.97086891,1,0.985936715,,,0.053518838,0.052737318,0.015943942,0.02913109,0,0.014063285
0.947395146,0.946760422,0.98385295,0.973380211,1,0.986438975,,,0.052604854,0.053239578,0.01614705,0.026619789,0,0.013561025
0.946278054,0.946760422,0.985173149,0.972877951,1,0.985434455,,,0.053721946,0.053239578,0.014826851,0.027122049,0,0.014565545
0.947293592,0.947262682,0.984970042,0.974384731,1,0.985434455,,,0.052706408,0.052737318,0.015029958,0.025615269,0,0.014565545
0.946481162,0.946760422,0.986188687,0.974384731,1,0.987443496,,,0.053518838,0.053239578,0.013811313,0.025615269,0,0.012556504
0.947598253,0.946760422,0.985477811,0.974886991,1,0.986941236,,,0.052401747,0.053239578,0.014522189,0.025113009,0,0.013058764
0.946582716,0.946760422,0.986594902,0.975891512,1,0.986941236,,,0.053417284,0.053239578,0.013405098,0.024108488,0,0.013058764
0.947699807,0.946760422,0.986087133,0.974886991,1,0.986941236,,,0.052300193,0.053239578,0.013912867,0.025113009,0,0.013058764
0.946582716,0.946760422,0.986290241,0.975891512,1,0.986941236,,,0.053417284,0.053239578,0.013709759,0.024108488,0,0.013058764
0.947699807,0.946258162,0.986899563,0.975389252,1,0.987443496,,,0.052300193,0.053741838,0.013100437,0.024610748,0,0.012556504
0.946684269,0.946760422,0.986594902,0.977398292,1,0.986941236,,,0.053315731,0.053239578,0.013405098,0.022601708,0,0.013058764
0.947801361,0.946760422,0.987102671,0.977398292,1,0.986941236,,,0.052198639,0.053239578,0.012897329,0.022601708,0,0.013058764
0.946684269,0.946760422,0.987001117,0.975389252,1,0.986438975,,,0.053315731,0.053239578,0.012998883,0.024610748,0,0.013561025
0.94830913,0.947764942,0.987711994,0.976896032,1,0.986438975,,,0.05169087,0.052235058,0.012288006,0.023103968,0,0.013561025
0.946785823,0.946760422,0.987813547,0.977398292,1,0.986438975,,,0.053214177,0.053239578,0.012186453,0.022601708,0,0.013561025
0.948004468,0.947262682,0.98761044,0.976393772,1,0.985936715,,,0.051995532,0.052737318,0.01238956,0.023606228,0,0.014063285
0.946684269,0.947262682,0.987915101,0.977398292,1,0.985434455,,,0.053315731,0.052737318,0.012084899,0.022601708,0,0.014565545
0.948918452,0.947262682,0.987813547,0.978402813,1,0.986438975,,,0.051081548,0.052737318,0.012186453,0.021597187,0,0.013561025
0.9474967,0.946760422,0.987813547,0.977398292,1,0.985936715,,,0.0525033,0.053239578,0.012186453,0.022601708,0,0.014063285
0.94830913,0.947262682,0.987915101,0.977900552,1,0.985936715,,,0.05169087,0.052737318,0.012084899,0.022099448,0,0.014063285
0.947699807,0.946760422,0.987711994,0.976896032,1,0.985936715,,,0.052300193,0.053239578,0.012288006,0.023103968,0,0.014063285
0.948512237,0.947764942,0.988016655,0.976896032,1,0.986941236,,,0.051487763,0.052235058,0.011983345,0.023103968,0,0.013058764
